ORGANIZATION_NAME,LOCATION_NAME,ADDRESS_1,ADDRESS_2,PHONE,EXT,CASE_MANAGEMENT,CRISIS_INTERVENTION,LEGAL_SERVICES,SAFETY_PLANNING,IMMIGRATION_SERVICES,EMERGENCY_OR_TRANSITIONAL_SHELTER,PERMANENT_HOUSING,HEALTH_CARE,MENTAL_HEALTH_COUNSELING,DRUG_ADDICTION_SCREENING_AND_TREATMENT,LANGUAGE_INTERPRETATION,PUBLIC_BENEFITS,JOB_TRAINING_AND_ECONOMIC_EMPOWERMENT,RESTORATIVE_JUSTICE,OTHER,INTIMATE_PARTNER_VIOLENCE,FAMILY_VIOLENCE,SEXUAL_ASSAULT,VIOLENT_CRIME,PROPERTY/FINANCIAL_CRIMES,AGE_0-5,AGE_5-24,AGE_25-60,AGE_60+,ELIGIBILITY_CRITERIA,MAIN_HOURS_OF_OPERATION,WEEKEND_HOURS_OF_OPERATION,SPANISH,ARABIC,BENGALI,CHINESE,FRENCH,HAITIAN-CREOLE,ITALIAN,KOREAN,POLISH,RUSSIAN,URDU,YIDDISH,OTHER,INTERPRETATION_SERVICE_OFFERED,REFERRAL_REQUIRED,CULTURAL_COMPETENCIES_SPECIALIZATIONS,,BOROUGH,WEBSITE,X,Y
Garden of Hope,Queens Family Justice Center,126-02 82nd Avenue ,"Kew Gardens, NY 11415",877-990-8595,,1,1,1,1,1,1,,,1,,1,1,1,,,1,,1,1,,1,1,1,,"Serves victims of intimate partner violence, elder abuse and/or sex trafficking",Monday - Friday: 9 am - 5 pm,,,,,1,,,,,,,,,Cantonese,,,Asian communities,,Queens,http://www.gohny.org/,1032620,199035
Garden of Hope,Brooklyn Family Justice Center,"350 Jay Street, 16th Floor","Brooklyn, NY 11201",877-990-8595,,1,1,1,1,1,1,,,1,,1,1,1,,,1,,1,1,,1,1,1,,"Serves victims of intimate partner violence, elder abuse and/or sex trafficking",Monday - Friday: 9 am - 5 pm,,,,,1,,,,,,,,,Cantonese,,,Asian communities,,Brooklyn,http://www.gohny.org/,987580,192051
Graham Windham,Manhattan Mental Health Clinic,274 W 145th Street,"New York, NY 10039",212-368-4100 ,7123,,1,,1,,,,,1,,,,,,,1,1,1,1,,,1,,,"Serves victims 4-25 years of age, call to confirm eligibility","Monday - Thursday: 9 am - 8 pm Friday: 9 am - 5 pm",Saturday-Sunday: 10 am - 4 pm,1,,,,,,,,,,,,,,,,,Manhattan,www.graham-windham.org,1000375,238958
Graham Windham,Brief Stratetgic Family Therapy Preventive Services,274 W 145th Street,"New York, NY 10039",212-368-4100 ,7130,1,1,,1,,,,,1,,1,1,,,,1,1,1,1,,,1,,,Serves victims 10-18 years of age who are enrolled in a Graham Windham preventive program,Monday - Friday: 11 am - 7 pm,Call to inquire about weekend hours of operation,1,,,,,,,,,,,,,,,,,Manhattan,www.graham-windham.org,1000375,238958
Graham Windham,Family Treatment and Rehabilitation,540 Atlantic Avenue,"Brooklyn, NY 11217",718-294-1715 ,4150,1,1,,1,,,,,,1,1,1,,,,1,1,1,1,,1,1,1,,Call to confirm eligibility,Monday - Friday: 11 am - 7 pm,Call to inquire about weekend hours of operation,1,,,,1,1,,,,,,,,,,,,Brooklyn,www.graham-windham.org,989729,188736
Graham Windham,General Preventive,1946 Webster Avenue,"Bronx, NY 10457",718-875-1167 ,3356,1,1,,1,,,,,,1,1,1,,,,1,1,1,1,,1,1,,,Serves victims with children under 18 years of age at risk of foster care placement,Monday - Friday: 9 am - 8 pm,Call to inquire about weekend hours of operation,1,,,,,,,,,,,,,,,,,Bronx,www.graham-windham.org,1011950,248576
"HANAC, Inc.",Victim Assistance Program,27-40 Hoyt Avenue South,"Astoria, NY 11102",718-728-3811,,1,,1,,1,,,,,1,1,,1,,,1,1,1,1,,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,,,,Greek,,,,,Queens,http://hanac.org/,1006572,220176
HeartShare St. Vincent's Services,Outpatient Mental Health Clinic ,"66 Boerum Place, 1st Floor","Brooklyn, NY 11201",718-522-6011 ,,,1,,1,,,,,1,1,,,,,,1,1,1,1,1,1,1,1,1,,Monday - Friday: 9 am - 9 pm,Saturday-Sunday: 10 am - 3 pm,1,,,,,,,,,1,,,,,,,,Brooklyn,https://hsvsnyc.org/,986790,190566
HeartShare St. Vincent's Services,Outpatient Mental Health Clinic ,"89-31 161st Street, 4th Floor","Jamaica, NY 11432",718-206-0218,,,1,,1,1,,,,1,1,,,,,,1,1,1,1,1,1,1,1,1,,Monday - Friday: 9 am - 9 pm,Saturday-Sunday: 10 am - 3 pm,1,,,,,,,,,,,,,,,,,Queens,https://hsvsnyc.org/,1039930,196411
HeartShare St. Vincent's Services,Special Medical Preventive Services,66 Boerum Place,"Brooklyn, NY 11201",718-422-2455,,1,1,,1,,,,1,1,,,1,,,,1,1,,,,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,,,,,,,,,Brooklyn,https://hsvsnyc.org/,986790,190566
HeartShare St. Vincent's Services,General Preventive Services,"8717 Bay Parkway, 7th Floor","Brooklyn, NY 11214",718-234-1717,,1,1,,1,,,,,1,,,1,,,,1,1,,,,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,1,,,,,,,,Brooklyn,https://hsvsnyc.org/,,
HeartShare St. Vincent's Services,General Preventive Services,1702 Mermaid Avenue,"Brooklyn, NY 11224",718-372-0580,,1,1,,1,,,,,1,,,1,,,,1,1,,,,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,,,,,,,,,Brooklyn,https://hsvsnyc.org/,988419,149291
HeartShare St. Vincent's Services,General Preventive Services,1353 Utica Avenue ,"Brooklyn, NY 11203",347-770-8155,,1,1,,1,,,,,1,,,1,,,,1,1,,,,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,,,,,1,,,,,,,,,,,,Brooklyn,https://hsvsnyc.org/,1004081,172284
HELP USA - HELP ROADS,,515 Blake Avenue ,"Brooklyn, NY 11207",718-922-7980,,1,1,,1,,,,,1,,1,,1,,,1,1,1,1,1,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,,,,,,,,,Brooklyn,http://www.helpusa.org/help-roads/,1011950,182618
Her Justice,Administrative Office,100 Broadway ,"New York, NY 10005",212-695-3800,,,,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,Serves victims who identify as a women,Monday - Friday: 9:30 am - 5:30 pm,,1,1,,,,,1,1,,1,,,,,,,,Manhattan,http://www.herjustice.org/,981167,197208
Kingsbridge Heights Community Center-Changing Futures Program,Stern House,3101 Kingsbridge Terrace ,"Bronx, NY 10463",718-884-0700,,,1,,1,,,,,1,,1,,,,,1,1,1,1,,1,1,,,,Monday - Friday: 8 am - 7 pm ,Saturday-Sunday: 9 am - 5 pm,1,,,,,,,,,,,,,,,,,Bronx,http://www.khcc-nyc.org/,1011710,259018
Leake & Watts,IS 217 School of the Performing Arts,977 Fox Street,"Bronx, NY 10459",718-589-4844 ,1155,1,1,,1,,,,,1,,,,,,,1,1,1,1,,1,1,,,"Serves the community at IS 217, IS 384, South Bronx Classical Charter School, or NYC Autism Charter School",Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,,,,,,,,,Bronx,http://www.leakeandwatts.org/,1013479,238763
Leake & Watts Preventive Services at Safe Horizon,,900 Sheridan Avenue ,"Bronx, NY 10451",718-590-2371,,1,1,,1,1,1,,,1,,1,,,,,1,1,1,1,,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,,,,,,,,,Bronx,https://www.safehorizon.org/,1006308,240467
Leake & Watts,JHS 123 - The Bronx Urban Community School,1025 Morrison Avenue ,"New York, NY 10472",718-328-2105 ,1181,1,1,,1,,,,,1,,,,,,,1,1,1,1,,1,1,,,Serves the community at JHS 123 - The Bronx Urban Community School.,Monday - Friday: 8 am - 4 pm,,1,,,,,,,,,,,,,,,,,Bronx,http://www.leakeandwatts.org/,1019157,239951
Legal Aid Society,Bronx Neighborhood Office  (Civil),260 E 161st Street,"Bronx, NY 10451 ",718-991-4600,,,,1,,1,,,,,,1,,,,,1,1,1,1,1,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,Bronx,http://www.legal-aid.org/en/home.aspx,1006630,240054
Legal Aid Society,Brooklyn Neighborhood Office  (Civil),"111 Livingston Street, 7th Floor","Brooklyn, NY 11201",718-722-3100,,,,1,,1,,,,,,1,,,,,1,1,1,1,1,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,Brooklyn,http://www.legal-aid.org/en/home.aspx,987077,191200
Legal Aid Society,Harlem Community Law Office  (Civil),2090 Adam Clayton Powell Jr Boulevard ,"New York, NY 10027",212-426-3000,,,,1,,1,,,,,,1,,,,,1,1,1,1,1,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,Manhattan,http://www.legal-aid.org/en/home.aspx,998388,233929
Legal Aid Society,Queens Neighborhood Office  (Civil),120-46 Queens Boulevard ,"Kew Gardens, NY 11415",718-286-2450,,,,1,,1,,,,,,1,,,,,1,1,1,1,1,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,Queens,http://www.legal-aid.org/en/home.aspx,1031706,199089
Legal Aid Society,Staten Island Neighborhood Office (Civil),"60 Bay Street, 3rd Floor","Staten Island, NY 10301",347-422-5333,,,,1,,1,,,,,,1,,,,,1,1,1,1,1,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,Staten Island,http://www.legal-aid.org/en/home.aspx,963092,172632
Legal Aid Society,The Legal Aid Society Headquarters,199 Water Street ,"New York, NY 10038",212-577-3300,,,,1,,1,,,,,,1,,,,,1,1,1,1,1,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,Manhattan,http://www.legal-aid.org/en/home.aspx,983038,196805
Legal Information for Families Today (LIFT),LIFT Central Office,"32 Court Street, Suite 1208 ","Brooklyn, NY 11201",646-613-9633,,,,1,,,,,,,,,,,,,1,1,,,,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,,1,,,,,,,,,,,,,,,Brooklyn,http://www.liftonline.org/,986716,191749
Legal Information for Families Today (LIFT),Brooklyn Family Court,"330 Jay Street, 5th Floor","Brooklyn, NY 11201",646-613-9633,,,,1,,,,,,,,,,,,,1,1,,,,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,,,,,,,,,,,,,,,,,,Brooklyn,http://www.liftonline.org/,987662,192339
Legal Information for Families Today (LIFT),Manhattan Family Court,60 Lafayette Street,"New York, NY 10013",646-613-9633,,,,1,,,,,,,,,,,,,1,1,,,,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,,,,,,,,,Manhattan,http://www.liftonline.org/,983491,200373
Legal Information for Families Today (LIFT),Bronx Family Court,"900 Sheridan Avenue, 7th Floor","Bronx, NY 10451",646-613-9633,,,,1,,,,,,,,,,,,,1,1,,,,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,,,,,,,,,Bronx,http://www.liftonline.org/,1006308,240467
Legal Information for Families Today (LIFT),Queens Family Court,151-20 Jamaica Avenue,"Jamaica, NY 11432",646-613-9633,,,,1,,,,,,,,,,,,,1,1,,,,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,,,,,,,,,Queens,http://www.liftonline.org/,1038933,195163
Legal Information for Families Today (LIFT),Staten Island Family Court,"25 Hyatt Street, 4th Floor","Staten Island, NY 10301",646-613-9633,,,,1,,,,,,,,,,,,,1,1,,,,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,,,,,,,,,Staten Island,http://www.liftonline.org/,962787,173199
"LSA Family Health Service, Inc.",,333 E 115th Street,"New York, NY 10029",646-672-5200,,,,,,1,,,,1,,,1,,,,,,,,1,1,1,1,1,"Serves Manhattan residents, call to confirm eligibility",Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,,,,,,,"Immigrant communities, Spanish-speaking communities",,Manhattan,http://littlesistersfamily.org,1001795,229246
Lutheran Social Services of New York,"New LIFE Center-Midtown, Immigration Legal Program ","308 W 46th Street, 3rd Floor","New York , NY 10036",212-265-1826,,,,,,1,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,Monday - Friday: 10 am - 6 pm,,1,,,,,,,,,,,,,,,Spanish and French-speaking communities,,Manhattan,http://lssny.org/,987377,216118
Manhattan Legal Services,,"1 W 125th Street, 2nd Floor","New York, NY 10027",646-442-3100,,1,1,1,1,1,,,,,,1,1,,,,1,1,1,,,1,1,1,1,Call to confirm eligibility,Monday - Friday: 9 am - 5 pm,,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,Manhattan,http://www.legalservicesnyc.org/our-program/manhattan,1000190,233217
Mental Health Association,,"50 Broadway, 19th Floor","New York, NY 10004",212-964-5253,,,1,,1,,,,,,,,,,,,1,1,1,1,,1,1,,,Call to confirm eligibility,Monday - Friday: 9 am - 5 pm,,1,,,1,,,,,,,,,,,,Cantonese and Mandarin-speaking communities,,Manhattan,https://mhaofnyc.org/,980801,196576
Met Council,Bronx Family Justice center,198 E 161st Street ,"Bronx, NY 10451",718-508-1274,,1,1,,1,,,,,,,1,1,1,,Financial assistance,1,,1,,,1,1,1,1,"Serves victims of intimate partner violence, elder abuse and/or sex trafficking",Monday - Friday: 9 am - 5 pm,,1,,,,1,,1,,,,,,Hebrew,,,"Intimate partner violence and sex trafficking survivors, Jewish communities",,Bronx,http://www.metcouncil.org/site/PageServer,1006087,240172
Met Council,Brooklyn Family Justice center,350 Jay Street ,"Brooklyn, NY 11201",718-850-5036,,1,1,,1,,,,,1,,1,1,1,,Financial assistance,1,,1,,,1,1,1,1,"Serves victims of intimate partner violence, elder abuse and/or sex trafficking",Monday - Friday: 9 am - 5 pm,,,,,,,,,,,1,,,,,,"Intimate partner violence and sex trafficking survivors, Jewish communities",,Brooklyn,http://www.metcouncil.org/site/PageServer,987580,192051
Met Council,Queens Family Justice center,126-02 82nd Avenue,"Kew Gardens, NY 11415",718-575-4539,,1,1,,1,,,,,1,,1,1,1,,Financial assistance,1,,1,,,1,1,1,1,"Serves victims of intimate partner violence, elder abuse and/or sex trafficking",Monday - Friday: 9 am - 5 pm,,,,,,,,,,,,,,,,,"Intimate partner violence and sex trafficking survivors, Jewish communities",,Queens,http://www.metcouncil.org/site/PageServer,1032620,199035
Met Council,Manhattan Family Justice center, 80 Centre Street ,"New York, NY 10013",212-602-2821,,1,1,,1,,,,,1,,1,1,1,,Financial assistance,1,,1,,,1,1,1,1,"Serves victims of intimate partner violence, elder abuse and/or sex trafficking",Monday - Friday: 9 am - 5 pm,,,,,,,,,,,,,,,,,"Intimate partner violence and sex trafficking survivors, Jewish communities",,Manhattan,http://www.metcouncil.org/site/PageServer,983921,199805
Met Council,Staten Island Family Justice center,126 Stuyvesant Place,"Staten Island, NY 10301",718-697-4347,,1,1,,1,,,,,1,,1,1,1,,Financial assistance,1,,1,,,1,1,1,1,"Serves victims of intimate partner violence, elder abuse and/or sex trafficking",Monday - Friday: 9 am - 5 pm,,,,,,,,,,,,,,,,,"Intimate partner violence and sex trafficking survivors, Jewish communities",,Staten Island,http://www.metcouncil.org/site/PageServer,962810,173464
Met Council,Home office ,120 Broadway,"New York, NY 10271",212-453-9592,,1,1,,1,,,,,1,,1,1,1,,Financial assistance,1,1,1,,,1,1,1,1,Serves victims of intimate partner violence or sex trafficking,Monday - Friday: 9 am - 5 pm,,1,,,,1,,,,,1,,,Hebrew ,,,"Intimate partner violence and sex trafficking survivors, Jewish communities",,Manhattan,http://www.metcouncil.org/site/PageServer,981333,197300
Montefiore Behavioral Health Center at Westchester Square,,2527 Glebe Avenue  ,"Bronx, NY 10461",718-904-4415,,,,,1,,,,,1,,,,,,,1,1,1,1,1,1,1,1,1,Call to confirm eligibility,Monday - Friday: 8:30 am - 6:30 pm,,1,,1,,,,,,,,,,,,,,Other (please specify),Bronx,http://www.montefiore.org/mbhc,1026680,245752
Mount Sinai Adolescent Health Center,Mount Sinai Adolescent Health Center,320 E 94th Street ,"New York, NY 10128",212-423-2900,,1,1,1,1,1,,,1,1,,1,,,,,1,,,,,,1,,,,Monday - Friday: 9 am - 5 pm,Saturdays: 9 am - 4 pm,1,,,,,,,,,,,,,,,,Our organization specializes in serving adolescents ages 10-22 at our location.,Manhattan,http://www.mountsinai.org/patient-care/service-areas/adolescent-health-center,998874,224307
Neighborhood SHOPP,,953 Southern Boulevard ,"Bronx, NY 10466",718-542-0006,,,1,1,1,,,,,,,1,1,,,,1,1,1,1,1,,,,1,Serves victims who are 60 years of age or older,Monday - Friday: 9 am - 5 pm,,1,,,,1,,,,,,,,,,,,,Bronx,http://www.nshopp.org/,1014115,238615
New Destiny Housing Corporation,Administrative Office,"12 W 37th Street, 7th Floor","New York, NY 10018",646-472-0262,,1,,,1,,,1,,,,,1,,,,1,,1,1,1,1,1,1,1,Serves victims who are former domestic violence shelter residents,Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,,,,,,,,,Manhattan,http://www.newdestinyhousing.org/,988613,212723
New York City Anti-Violence Project,Main Office ,"116 Nassau Street, 3rd Floor","New York, NY 10038",212-714-1141,,1,1,1,1,1,,,,,,,,1,,,1,1,1,1,1,1,1,1,1,,<ul><li><i>Main office hours:</i><br>Monday - Friday: 10 am - 6 pm</li><li><i>Walk-in hours:</i><br>Monday - Friday: 10 am - 3 pm</li></ul>,,1,,,,,,,,,,,,,1,,LGBTQ and HIV-affected communities,,Manhattan,https://avp.org/,982333,198173
New York City Anti-Violence Project,Manhattan Family Justice Center,"80 Centre Street, 5th Floor","New York, NY 10038",212-602-2800,,1,1,,1,,,,,,,,,,,,1,,1,,,1,1,1,1,"Serves victims of intimate partner violence, elder abuse and/or sex trafficking",Monday - Friday: 9 am - 5 pm,,1,1,1,1,1,1,1,1,1,1,1,1,,1,,LGBTQ and HIV-affected communities,,Manhattan,https://avp.org/,983921,199805
New York City Anti-Violence Project,Bronx Family Justice Center,"198 E 161st Street, 2nd Floor","Bronx, NY 10451",718-508-1220,,1,1,,1,,,,,,,,,,,,1,,,,,1,1,1,1,"Serves victims of intimate partner violence, elder abuse and/or sex trafficking",Monday - Friday: 9 am - 5 pm,,1,1,1,1,1,1,1,1,1,1,1,1,,1,,LGBTQ and HIV-affected communities,,Bronx,https://avp.org/,1006087,240172
New York City Anti-Violence Project,Queens Family Justice Center,126-02 82nd Avenue,"Queens, NY 11415",718-757-4545,,1,1,,,,,,,,,,,,,,1,,,,,1,1,1,1,"Serves victims of intimate partner violence, elder abuse and/or sex trafficking",Monday - Friday: 9 am - 5 pm,,1,1,1,1,1,1,1,1,1,1,1,1,,1,,LGBTQ and HIV-affected communities,,Queens,https://avp.org/,1032620,199035
New York City Anti-Violence Project,Staten Island Family Justice Center,126 Stuyvesant Place,"Staten Island, NY 10301",718-697-4300,,1,1,,,,,,,,,,,,,,1,,,,,1,1,1,1,"Serves victims of intimate partner violence, elder abuse and/or sex trafficking",Monday - Friday: 9 am - 5 pm,,1,1,1,1,1,1,1,1,1,1,1,1,,1,,LGBTQ and HIV-affected communities,,Staten Island,https://avp.org/,962810,173464
New York City Anti-Violence Project,Adolescent AIDS Program at Montefiore Medical Center,"3415 Bainbridge Ave, 4th Floor","Bronx, NY 10467",718-741-2426,,1,1,,1,,,,,,,,,,,,1,1,1,1,1,,1,,,Serves victims who are under 25 years of age and impacted by HIV,Mondays: 11 am - 7 pm,,1,,,,,,,,,,,,,,,LGBTQ and HIV-affected communities,,Bronx,https://avp.org/,1017448,260210
New York City Anti-Violence Project,GMHC,446 W 33rd Street ,"New York, NY 10001",212-367-1100,,1,1,,1,,,,,1,,,,,,,1,,,,,1,1,1,1,Serves intimate partner violence survivors living with HIV,Tuesday and Wednesday: 9 am - 5 pm,,,,,,,,,,,,,,,,,LGBTQ and HIV-affected communities,,Manhattan,https://avp.org/,,
New York Legal Assistance Group,,7 Hanover Square ,"New York, NY 10004",212-613-5000,,,,1,1,1,,,,,,1,1,,,,1,1,1,1,1,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,1,1,1,1,1,1,1,1,1,1,1,Hebrew,1,,,,Manhattan,http://nylag.org/,981573,195784
Northern Manhattan Improvement Corporation,,45 Wadsworth Avenue ,"New York, NY 10033",212-822-8300,,1,1,1,1,1,,,,1,,1,1,1,,,1,,,,,1,1,1,1,Call to confirm eligibility,Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,,,,American Sign Language,,,"Intimate partner violence survivors, Spanish-speaking communities",Other (please specify),Manhattan,http://www.nmic.org/,1001595,247553
"Ohel Children's Home and Family Services, Inc.",Tikvah Regional Center,2925A Kings Highway,"Brooklyn, NY 11229",718-851-6300,,1,1,,1,,,1,1,1,,,,1,,,,1,1,,,1,1,1,1,Call to confirm eligibility,Monday - Friday: 9 am - 7 pm,,,,,,,,,,,1,,1,,,,Jewish communities,,Brooklyn,http://www.ohelfamily.org/,999455,163805
"Ohel Children's Home and Family Services, Inc.",The Kleinman Family OHEL Regional Center,156 Beach 9th Street,"Far Rockaway, NY 11691",718-851-6300,,1,1,,1,,,1,1,1,,,,1,,,,1,1,,,1,1,,,Call to confirm eligibility,Monday - Friday: 9 am - 7 pm,,,,,,,,,,,1,,,,,,Jewish communities,,Queens,http://www.ohelfamily.org/,1055498,156455
"Puerto Rican Family Institute, Inc. (PRFI)",Bronx Child Placement Prevention Program,"3251 Third Avenue, 3rd Floor","Bronx, NY 10456",718-584-6268,,1,1,,1,,,,,,,,,,,,,1,1,1,,1,1,1,1,Serves New York City residents,Monday - Friday: 9 am - 5 pm,Call to inquire about weekend hours of operation ,1,,,,,,,,,,,,,,,,,Bronx,http://www.prfi.org/,1009458,239639
"Puerto Rican Family Institute, Inc. (PRFI)",Bushwick Child Placement Prevention Program,"358 Grove Street, 1st Floor","Brooklyn, NY 11237",718-387-5200,,1,1,,1,,,,,,,,,,,,,1,1,1,,1,1,1,1,Serves New York City residents,Monday - Friday: 9 am - 5 pm,Call to inquire about weekend hours of operation ,1,,,,,,,,,,,,,,,Immigrant communities,,Brooklyn,http://www.prfi.org/,1008152,194295
"Puerto Rican Family Institute, Inc. (PRFI)",East NY Child Placement Prevention Program,2924 Fulton Street ,"Brooklyn, NY 11207",718-647-7520,,1,1,,1,,,,,,,,,,,,,1,1,1,,1,1,1,1,Serves New York City residents,Monday - Friday: 9 am - 5 pm,Call to inquire about weekend hours of operation ,1,,,,,,,,,,,,,,,Immigrant communities,,Brooklyn,http://www.prfi.org/,1015653,186684
"Puerto Rican Family Institute, Inc. (PRFI)",Williamsburg Child Placement Prevention Program,"785 Flushing Avenue, 5th Floor","Brooklyn, NY 11206",718-782-7701,,1,1,,1,,,,,,,,,,,,,1,1,1,,1,1,1,1,Serves New York City residents,Monday - Friday: 9 am - 5 pm,Call to inquire about weekend hours of operation ,1,,,,,,,,,,,,,,,Immigrant communities,,Brooklyn,http://www.prfi.org/,1000379,194677
"Puerto Rican Family Institute, Inc. (PRFI)",Manhattan Mental Health Clinic,"145 W 15th Street, 5th Floor","New York, NY 10011",212-229-6905,,1,1,,1,,,,1,1,1,1,,,,,1,1,1,1,,1,1,1,1,,Monday - Friday: 9 am - 5 pm,Call to inquire about weekend hours of operation ,1,,,,,,,,,,,,,,,Immigrant communities,,Manhattan,http://www.prfi.org/,984831,208499
"Puerto Rican Family Institute, Inc. (PRFI)",Bronx Mental Health Clinic,4123 Third Avenue ,"Bronx, NY 10457",718-299-3045,,1,1,,1,,,,1,1,1,1,,,,,1,1,1,1,,1,1,1,1,,Monday - Friday: 9 am - 5 pm,Call to inquire about weekend hours of operation ,1,,,,,,,,,,,,,,,Immigrant communities,,Bronx,http://www.prfi.org/,1012617,247076
"Puerto Rican Family Institute, Inc. (PRFI)",Brooklyn Mental Health Clinic,"28 Debevoise Street, 5th Floor","Brooklyn, NY 11206",718-963-4430,,1,1,,1,,,,1,1,1,1,,,,,1,1,1,1,,1,1,1,1,,Monday - Friday: 9 am - 5 pm,Call to inquire about weekend hours of operation ,1,,,,,,,,,,,,,,,Immigrant communities,,Brooklyn,http://www.prfi.org/,1000379,194677
"Puerto Rican Family Institute, Inc. (PRFI)",Home Base Crisis Intervention,"28 Debevoise Street, 5th Floor","Brooklyn, NY 11206",718-963-4430,,1,1,,1,,,,1,1,1,1,,,,,1,1,1,1,,1,1,1,1,,Monday - Friday: 9 am - 5 pm,Call to inquire about weekend hours of operation ,1,,,,,,,,,,,,,,,Immigrant communities,,Brooklyn,http://www.prfi.org/,1000379,194677
"Puerto Rican Family Institute, Inc. (PRFI)",Children's Care Coordination (Health Home),"28 Debevoise Street, 5th Floor","Brooklyn, NY 11206",718-963-4430,,1,1,,1,,,,1,,1,1,,1,,,,1,1,1,,1,1,1,1,,Monday - Friday: 9 am - 5 pm,Call to inquire about weekend hours of operation ,1,,,,,,,,,,,,,,,Immigrant communities,,Brooklyn,http://www.prfi.org/,1000379,194677
"Puerto Rican Family Institute, Inc. (PRFI)",Adult Care Coordination (Health Home) ,"145 W 15th Street, 6th Floor","New York, NY 10011",212-229-6976,,1,1,,1,,,,,,,,,,,,,1,1,1,,1,1,1,1,,Monday - Friday: 9 am - 5 pm,Call to inquire about weekend hours of operation ,1,,,,,,,,,,,,,,,Immigrant communities,,Manhattan,http://www.prfi.org/,984831,208499
Queens Legal Services,,89-00 Sutphin Boulevard ,"Jamaica, NY 11435",347-592-2200,,1,1,1,1,1,,,,,,1,1,,,,1,1,1,,,1,1,1,1,Call to confirm eligibility,Monday - Friday: 9 am - 5 pm,,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,Queens,http://www.legalservicesnyc.org/our-program/queens,1037224,195626
Safe Horizon,Queens Family Court,"151-20 Jamaica Avenue , 2nd Floor","Jamaica, NY 11432",718-262-0202,,1,,,1,,,,,1,,,,,,,1,1,1,1,,1,1,1,1,,"Monday - Friday: 9 am - 1 pm, 2 pm - 5 pm",,1,,,,,,,,,,,,,,,,,Queens,https://www.safehorizon.org/,1038933,195163
Safe Horizon,Brooklyn Family Court ,"330 Jay St, 12th Floor","Brooklyn, NY 11201",718-834-7440,,1,,,1,,,,,1,,,,,,,1,1,1,1,,1,1,1,1,,"Monday - Friday: 9 am - 1 pm, 2 pm - 5 pm",,1,,,,,,,,,,,,,,,,,Brooklyn,https://www.safehorizon.org/,987662,192339
Safe Horizon,Bronx Family Court,"900 Sheridan Avenue , Room 1-40 ","Bronx, NY 10451",718-590-2371,,1,,,1,,,,,1,,,,,,,1,1,1,1,,1,1,1,1,,"Monday - Friday: 9 am - 1 pm, 2 pm - 5 pm",,1,,,,,,,,,,,,,,,,,Bronx,https://www.safehorizon.org/,1006308,240467
Safe Horizon,Staten Island Family Court,"30 Bay Street, 5th Floor","Staten Island, NY 10301",718-447-3820,,1,,,1,,,,,1,,,,,,,1,1,1,1,,1,1,1,1,,"Monday - Friday: 9 am - 1 pm, 2 pm - 5 pm",,1,,,,,,,,,,,,,,,,,Staten Island,https://www.safehorizon.org/,963043,172942
Safe Horizon,Manhattan Family Court,"60 Lafayette Street, Room 4C ","New York, NY 10013",212-577-1270,,1,,,1,,,,,1,,,,,,,1,1,1,1,,1,1,1,1,,"Monday - Friday: 9 am - 1 pm, 2 pm - 5 pm",,1,,,,,,,,,,,,,,,,,Manhattan,https://www.safehorizon.org/,983491,200373
